id,status,source
Nicolaes Van der Maelen,master,
Thomas Lefebure,apprentice,
Simon Duchatel,master,
Peter Balthasar Du Bael,apprentice,
Gillis Francois Catiae,master,
Jan De Gruyter,masters sons,
Antoon Allaert,master,
Marcus Antoon Triccot,apprentice,
Reynier Bernaerts,master,
Jan Steps,masters sons,
Peter Achtschellinck,master,
Peter Mertens,masters sons,
Jacques Van der Borcht,master,
Egidius De Backer,apprentice,
Nicolaes Janssens,master,
Govard Van Beneden,master,
Du[…] Bauwens,master,
Bartholomeus Jacobus Van der Recht,apprentice,
Gregorius Refyn,master,
Charles Hendrickx,apprentice,
Jan Cornelis De Ridder,master,
Joris De Loeys,apprentice,
Nicolaes Van Bellinghen,master,
Jan Soetemans,apprentice,
Peter Albrecht,master,
Jan Leonardi,apprentice,
Raphael Herinckx,master,
Marcus Antone,master,
Nicolaes Galle,masters sons,
Tancredi Isca,master,
Tobias Mynaert,master,
Gaspar Van Eyck,apprentice,
Nicolaes Van Evere,master,
Lucas Van Evere,master,
Carel Soeer,apprentice,
Maerten Governeur,master,
Joos Van Hamme,masters sons,
Francois Van den Bossche,master,
Hans Seraelst,apprentice,
Francois De Neer,master,
Francois De Smedt,apprentice,
Gerard De Ruel,master,
Francois Vaeyendries,apprentice,
Gabriel De Bruyn,master,
Simon Rogaerts,master,
Jan De Pre,apprentice,
Gelaude Habaert,master,
Michiel De Goir,apprentice,
Jacob Van der Merken,master,
Jan Pennens,apprentice,
Michiel Confaelt,master,
Michiel Filier,apprentice,
Hieronymus Ballais,master,
Willem De Kempeneer,apprentice,
Hendrick Pie,master,
Peter Lesserbomen,apprentice,
Jacob Mahi,master,
Hendrick Vervoort,apprentice,
Philips Sergos,master,
Nicolaes Oroer,apprentice,
Jan Cornelis,master,
Maerten ,master,
